date,autonomous_community,avg_salary_eur,employment_rate,autonomous_community_raw,autonomous_community_key
2023-06,Comunitat Valenciana,1991.0,72.4,Comunitat Valenciana,comunitat valenciana
2023-01,Comunitat Valenciana,2183.0,72.2,Comunitat Valenciana,comunitat valenciana
2023-04,Castilla y León,1912.0,64.1,Castilla y León,castilla y leon
2023-06,País Vasco,2771.0,74.5,País Vasco,pais vasco
2023-01,Comunidad de Madrid,2978.0,62.5,Comunidad de Madrid,comunidad de madrid
2023-01,País Vasco,2940.0,63.9,País Vasco,pais vasco
2023-05,Galicia,2098.0,72.1,Galicia,galicia
2023-03,Castilla y León,2079.0,73.1,Castilla y León,castilla y leon
2023-08,País Vasco,2862.0,62.8,País Vasco,pais vasco
2023-10,Andalucia,1506.0,73.5,Andalucia,andalucia
2023-09,COMUNIDAD DE MADRID,2940.0,66.9,COMUNIDAD DE MADRID,comunidad de madrid
2023-10,COMUNITAT VALENCIANA,1991.0,60.1,COMUNITAT VALENCIANA,comunitat valenciana
2023-06,COMUNIDAD DE MADRID,2665.0,66.8,COMUNIDAD DE MADRID,comunidad de madrid
2023-01,Galicia,2072.0,61.6,Galicia,galicia
2023-06,Galicia,2124.0,72.3,Galicia,galicia
2023-10,COMUNIDAD DE MADRID,3063.0,67.8,COMUNIDAD DE MADRID,comunidad de madrid
2023-03,Pais Vasco,2926.0,62.2,Pais Vasco,pais vasco
2023-04,ANDALUCÍA,1623.0,61.4,ANDALUCÍA,andalucia
2023-08,COMUNITAT VALENCIANA,1919.0,66.5,COMUNITAT VALENCIANA,comunitat valenciana
2023-03,COMUNITAT VALENCIANA,2038.0,61.7,COMUNITAT VALENCIANA,comunitat valenciana
2023-07,COMUNITAT VALENCIANA,1914.0,63.8,COMUNITAT VALENCIANA,comunitat valenciana
2023-02,Andalucia,1742.0,70.8,Andalucia,andalucia
2023-09,País Vasco,2617.0,72.3,País Vasco,pais vasco
2023-06,Andalucia,1503.0,63.1,Andalucia,andalucia
2023-05,Pais Vasco,2849.0,61.3,Pais Vasco,pais vasco
2023-02,COMUNITAT VALENCIANA,1944.0,64.0,COMUNITAT VALENCIANA,comunitat valenciana
2023-09,COMUNITAT VALENCIANA,2117.0,69.5,COMUNITAT VALENCIANA,comunitat valenciana
2023-09,CATALUÑA,2563.0,70.7,CATALUÑA,cataluna
2023-07,ANDALUCÍA,1636.0,64.8,ANDALUCÍA,andalucia
2023-04,Comunidad de Madrid,2729.0,75.9,Comunidad de Madrid,comunidad de madrid
2023-07,Comunidad de Madrid,2723.0,75.8,Comunidad de Madrid,comunidad de madrid
2023-07,GALICIA,2045.0,67.1,GALICIA,galicia
2023-10,CASTILLA Y LEÓN,2093.0,77.5,CASTILLA Y LEÓN,castilla y leon
2023-03,GALICIA,1991.0,70.9,GALICIA,galicia
2023-04,PAÍS VASCO,2795.0,77.7,PAÍS VASCO,pais vasco
2023-08,Galicia,2173.0,69.2,Galicia,galicia
2023-05,Comunitat Valenciana,2222.0,66.7,Comunitat Valenciana,comunitat valenciana
2023-01,Cataluña,2583.0,65.0,Cataluña,cataluna
2023-02,Castilla y León,2079.0,73.7,Castilla y León,castilla y leon
2023-09,Galicia,2042.0,75.5,Galicia,galicia
2023-09,Andalucía,1549.0,74.3,Andalucía,andalucia
2023-05,Comunidad de Madrid,2828.0,75.0,Comunidad de Madrid,comunidad de madrid
2023-04,CATALUÑA,2608.0,74.9,CATALUÑA,cataluna
2023-10,País Vasco,2673.0,69.1,País Vasco,pais vasco
2023-07,PAÍS VASCO,2791.0,62.5,PAÍS VASCO,pais vasco
2023-04,Galicia,2072.0,61.3,Galicia,galicia
2023-08,CATALUÑA,2639.0,73.4,CATALUÑA,cataluna
2023-01,CASTILLA Y LEÓN,2022.0,60.6,CASTILLA Y LEÓN,castilla y leon
2023-02,País Vasco,2795.0,72.6,País Vasco,pais vasco
2023-08,Andalucia,1438.0,70.1,Andalucia,andalucia
2023-03,ANDALUCÍA,1443.0,65.0,ANDALUCÍA,andalucia
2023-09,Castilla y León,2028.0,72.2,Castilla y León,castilla y leon
2023-10,Galicia,2220.0,75.8,Galicia,galicia
2023-05,Castilla y León,1923.0,76.9,Castilla y León,castilla y leon
2023-07,Cataluña,2564.0,76.4,Cataluña,cataluna
2023-04,COMUNITAT VALENCIANA,1935.0,70.4,COMUNITAT VALENCIANA,comunitat valenciana
2023-08,Castilla y León,2174.0,73.6,Castilla y León,castilla y leon
2023-02,Galicia,2044.0,65.0,Galicia,galicia
2023-07,Castilla y León,2177.0,68.3,Castilla y León,castilla y leon
2023-03,COMUNIDAD DE MADRID,2778.0,61.8,COMUNIDAD DE MADRID,comunidad de madrid
2023-08,COMUNIDAD DE MADRID,2854.0,76.2,COMUNIDAD DE MADRID,comunidad de madrid
2023-06,Cataluña,2625.0,64.4,Cataluña,cataluna
2023-06,Castilla y León,2139.0,64.1,Castilla y León,castilla y leon
2023-01,Andalucia,1710.0,62.0,Andalucia,andalucia
2023-02,Cataluña,2544.0,63.6,Cataluña,cataluna
2023-05,CATALUÑA,2565.0,65.0,CATALUÑA,cataluna
2023-05,Andalucía,1578.0,75.6,Andalucía,andalucia
